,Timestamps,Content
0,00:00:00.000 --> 00:00:03.840,"Well, J.D. Vance warned us the other week about freedom of speech."
1,00:00:04.000 --> 00:00:05.020,By that he meant censorship.
2,00:00:05.300 --> 00:00:06.900,But there's another thing that happened last night
3,00:00:06.900 --> 00:00:09.340,that makes me worry about freedom of speech
4,00:00:09.340 --> 00:00:11.340,and about the whole democratic process.
5,00:00:11.520 --> 00:00:15.060,It was an event that I was doing in Camborne in Cornwall last night
6,00:00:15.060 --> 00:00:17.800,where a group called Antifa turned up.
7,00:00:17.880 --> 00:00:20.360,"Now, they have their origins in America"
8,00:00:20.360 --> 00:00:23.560,and they're more than happy to resort to violence.
9,00:00:23.560 --> 00:00:27.000,Have a quick look at some of the Antifa protesters from last night.
10,00:00:27.000 --> 00:00:32.120,Shame! Shame! Shame!
11,00:00:33.020 --> 00:00:37.000,Who protects the fascist?
12,00:00:37.380 --> 00:00:39.000,Who protects the fascist?
13,00:00:39.780 --> 00:00:42.960,Shame on you! Shame on you!
14,00:00:44.160 --> 00:00:48.200,You should be f***ing embarrassed!
15,00:00:50.020 --> 00:00:52.660,Shame on you! Shame on you!
16,00:00:52.660 --> 00:00:57.540,"So let's be clear, these were masked protesters."
17,00:00:58.480 --> 00:01:01.120,Members of the public were expected to walk through them.
18,00:01:01.940 --> 00:01:05.040,"Of course, what they were looking for was members of the public to react."
19,00:01:06.000 --> 00:01:09.080,One member of the public who was there had his tooth knocked out.
20,00:01:09.800 --> 00:01:10.940,But no arrests were made.
21,00:01:11.800 --> 00:01:15.600,And no attempt was made by Devon and Cornwall police
22,00:01:15.600 --> 00:01:17.600,to separate protesters out.
23,00:01:18.640 --> 00:01:20.420,"And prior to the event,"
24,00:01:21.000 --> 00:01:23.560,"they'd made scores of phone calls to the venue saying,"
25,00:01:23.940 --> 00:01:27.140,cancel the event or there will be violence on your premises.
26,00:01:28.000 --> 00:01:28.900,I've got to tell you something.
27,00:01:29.220 --> 00:01:30.740,I'm a great believer in political protest.
28,00:01:30.940 --> 00:01:33.060,"You can stand there and shout, maybe chuck the odd egg."
29,00:01:33.380 --> 00:01:33.600,All right?
30,00:01:33.720 --> 00:01:34.760,Just about live with that.
31,00:01:35.160 --> 00:01:36.860,"What I thought, I think what happened last night"
32,00:01:36.860 --> 00:01:39.240,was closer to political terrorism
33,00:01:39.240 --> 00:01:40.180,and quite extraordinary.
34,00:01:40.880 --> 00:01:43.200,"That Zoe Fox, Councillor Zoe Fox was there"
35,00:01:43.200 --> 00:01:46.440,and she was the Labour Mayor of Camborne up until last year.
36,00:01:46.540 --> 00:01:47.660,I have written to the Home Secretary
37,00:01:47.660 --> 00:01:51.640,and I will be actually writing to the Chief Constable
38,00:01:51.640 --> 00:01:52.840,of Devon and Cornwall Police
39,00:01:52.840 --> 00:01:54.320,complaining about their conduct.
40,00:01:55.000 --> 00:01:57.440,You've seen loads of political protests over the years.
41,00:01:58.040 --> 00:02:00.340,I just don't think people with masks
42,00:02:00.340 --> 00:02:03.360,should be able to crowd round the entrance.
43,00:02:03.920 --> 00:02:04.120,No.
44,00:02:04.260 --> 00:02:05.360,What is a democratic event?
45,00:02:05.520 --> 00:02:06.980,"Yeah, I completely agree."
46,00:02:07.120 --> 00:02:09.960,"I mean, actually you couldn't see it very well on that clip."
47,00:02:10.040 --> 00:02:10.180,No.
48,00:02:10.180 --> 00:02:12.420,The clip I looked at earlier where they were masked.
49,00:02:12.420 --> 00:02:13.880,They look very intimidating.
50,00:02:14.380 --> 00:02:17.940,"Nobody should be intimidated in attending a political event,"
51,00:02:18.160 --> 00:02:19.080,a public event.
52,00:02:19.380 --> 00:02:22.460,"If the police and the organisers, reform presumably,"
53,00:02:23.060 --> 00:02:25.420,"have been in touch and liaised,"
54,00:02:25.460 --> 00:02:27.400,"as you would always have to do for this sort of thing,"
55,00:02:27.820 --> 00:02:29.180,how many people do you expect?
