,Timestamps,Content
0,00:00:00.000 --> 00:00:03.200,"Yes, thank you very much, Jason, for having me."
1,00:00:03.280 --> 00:00:07.560,This is my third time speaking to your audience in China.
2,00:00:07.560 --> 00:00:14.340,And I also will say that this is the third time you have not brought me to Beijing to give this talk in person.
3,00:00:14.620 --> 00:00:16.080,So I forgive you for that.
4,00:00:16.140 --> 00:00:18.280,But hopefully the next time we can do it in person.
5,00:00:18.440 --> 00:00:24.200,So the title of my talk for today is The Scriptures and the Church Fathers.
6,00:00:24.200 --> 00:00:31.540,Another title that we could give to this conversation today could be According to the Scriptures.
7,00:00:31.920 --> 00:00:33.000,According to the Scriptures.
8,00:00:33.000 --> 00:00:40.280,This is a phrase from the creed that we say in church every Sunday and every morning in our morning prayers.
9,00:00:40.280 --> 00:00:54.640,"So the phrase According to the Scriptures is something that's professed by Orthodox Christians, by Christians that profess an apostolic faith that belonged to a historical apostolic church."
10,00:00:54.980 --> 00:01:01.540,And it's a kind of dogmatic theological profession about the scriptures.
11,00:01:01.820 --> 00:01:05.740,And it's one of the only dogmatic statements that we make about the scriptures.
12,00:01:05.740 --> 00:01:11.500,"So if you think about the creed, we profess, I believe in one God, the Father Almighty."
13,00:01:12.080 --> 00:01:15.560,And we go through this litany of Trinitarian theology.
14,00:01:15.560 --> 00:01:16.800,We talk about the Father.
15,00:01:17.000 --> 00:01:18.120,We talk about the Son.
16,00:01:18.300 --> 00:01:19.580,We talk about the Holy Spirit.
17,00:01:19.860 --> 00:01:23.560,What the Son has done in his incarnation by becoming a human being.
18,00:01:23.680 --> 00:01:25.840,But there's only one mention of the scriptures.
19,00:01:26.340 --> 00:01:30.020,And that's the phrase According to the Scriptures.
20,00:01:30.020 --> 00:01:33.740,"So specifically, we say that we talk about the Savior."
21,00:01:33.900 --> 00:01:39.340,"And we say that he was crucified for us under Pontius Pilate, suffered and was buried."
22,00:01:39.820 --> 00:01:43.320,"And on the third day, he rose again according to the scriptures."
23,00:01:43.580 --> 00:01:52.680,"So immediately, the faith in Jesus Christ is contextualized by a belief about scripture."
24,00:01:52.680 --> 00:02:00.000,"So one of the first questions we want to ask is, when we say scriptures in the creed, is this the same as the Bible?"
25,00:02:00.760 --> 00:02:02.280,Most of you have seen a Bible.
26,00:02:02.540 --> 00:02:04.520,You probably own one.
27,00:02:05.060 --> 00:02:07.740,What is the relationship between the Bible and the scriptures?
28,00:02:08.040 --> 00:02:11.960,"So when I say a Bible, you probably have an image in your mind."
