,Timestamps,Content
0,00:00:03.000 --> 00:00:25.000,好这样的观众朋友，大家晚上好这里是北京时间晚上八点1月17号那么今天我们是讲维尔主教的东众教会第11刻第11刻其实讲的是他第一部分第七章的内容我们今天主要讲的是这个希
1,00:00:25.000 --> 00:00:29.000,腊人和阿拉伯人，那么我有主教的这部著作。
2,00:00:29.000 --> 00:00:31.000,You're not gonna have anything else.
3,00:00:31.000 --> 00:00:41.000,在早期的教会的情况介绍的不是很多，基本上从公园一世纪到公元19世纪吧。
4,00:00:41.000 --> 00:00:46.000,差不多20世纪，它用了六张就讲完了，所以算是比较简略的。
5,00:00:46.000 --> 00:00:47.000,That's.
6,00:00:47.000 --> 00:00:52.000,主教的这本书在这个至少在西方世界呢，比较流行。
7,00:00:52.000 --> 00:00:54.000,所以呢？
8,00:00:54.000 --> 00:01:02.000,他大概的借鉴基本上代表了东众教对。就是。
9,00:01:02.000 --> 00:01:25.000,他对东任教的看法。还有他对这个向西方人解释东任教的事件哈，接下来第七章第八章和第九章它都是谈到20世纪的情况，那么今天我们要谈的是20世纪的希腊人和这个阿拉伯人好那我们就开始了，哈。
10,00:01:25.000 --> 00:01:29.000,好。我们来看。
11,00:01:29.000 --> 00:01:39.000,20世纪的希腊人和阿拉伯人教会是永恒在世俗中的鲜活形象。
12,00:01:39.000 --> 00:02:01.000,把我们来讲，今天的镇教会处于五种不同的形式之下，第一，生活在地中海地区东部的政教徒是由穆斯林主导的社会中的少数派四个古代中主教区朱氏坦丁堡亚历山大安提哈和耶路撒冷都在这个穆斯
13,00:02:01.000 --> 00:02:05.000,林的管辖之下。
14,00:02:05.000 --> 00:02:27.000,第二个情况呢？是塞浦路斯和希腊这两个证交会仍然坚持国家教会的拜张庭是联盟虽然这种形式有所解雇这个形式当然是减减弱的话基本上我们现在说现在的希腊跟败占群帝国是很不一样的希
15,00:02:27.000 --> 00:02:47.000,腊算是一个比较世俗的正传。所以我们前一段时间当然我这里简短评论下前段时间会听到希腊，政府就是通过了这个同性婚姻合法化的方案然后很多正教教徒觉得这个很荒唐我们要知道现在希腊政府跟以
16,00:02:47.000 --> 00:02:56.000,前的拜上田帝国是两个概念，以前拜战田帝国还是一个以中主制为主的国家而现在的希腊政府。呢？
17,00:02:56.000 --> 00:03:04.000,是民主政府。所以他们对于这个宗教的这个保护和管辖是咳嗽不一样的。
18,00:03:04.000 --> 00:03:19.000,我们之前谈过盖章亭帝国的石器。半年前的皇室政权对东正教是一个赞助人赞助赞助人的一个态度，所以呢？
19,00:03:19.000 --> 00:03:40.000,他会负责清除这个教会类的异端。帮助叫东壮教的这个统一保护东仲教的教义和领域的完整是充当保护人的一个作用但是对于现代的民主国家来说却不是这样子或者说现在的民主国家已经偏离了甚至已
20,00:03:40.000 --> 00:04:02.000,经偏离了。宗教改革时期约翰加尔文的这种国家的治理模式，那么政府对宗教是完全放任不管的就是无论你是异端也好是其他宗教也好都是不管的一个态度他就是。
21,00:04:02.000 --> 00:04:03.000,那我们甚至可以说，现在的民主国家已经不是基督教的一个赞助赞助人了。
22,00:04:03.000 --> 00:04:16.000,它。总体来说，现在民主国家的分歧是在摒弃这个基督教的传统和资源。
23,00:04:16.000 --> 00:04:41.000,那么这个希腊之所以这样做是效法了欧美的一些情况，所以就这样子大家不要觉得惊，奇正体是很不一样的，这里是关于这个希腊政府为什么赞成同性婚姻的关于一个简短的评论所以我我对这个这种国家
24,00:04:41.000 --> 00:05:02.000,教会的拜年模式的这种说法呢？我个人是还是持一个保留的意见，我并不觉得现在希腊或sbc的政府跟半量庭时期完全是一样的不是哈他情况是不一样的第三个是东欧的正教会直到近期还受共产
25,00:05:02.000 --> 00:05:25.000,主义者的管理面临着或多或少的严重破坏，是五种内心中人数最多的一种，包括俄罗斯塞尔维亚罗马尼亚保加利亚这个格鲁吉亚波兰阿尔巴尼亚斯洛伐克捷克斯洛伐克的教会在今天有全世界大概有百分
26,00:05:25.000 --> 00:05:39.000,之85以上的政教组，也就是说，第三类就是在东欧的真教会国家的镇教徒人数是最多的。
27,00:05:39.000 --> 00:05:53.000,那么第四类是流亡者，或者说散居在西方世界的政教徒的团体，他们主要是通过移民啊，或者被流放还有他们的后裔居住，的地方。
28,00:05:53.000 --> 00:05:54.000,Let me tell you something about.
29,00:05:54.000 --> 00:06:24.000,那最后的第五种呢？是正教内部一些小的传教活动，比如说包括东非日本中国俄国其他的这些国家那么这些这五个团体的总共人数大概有。
30,00:06:24.000 --> 00:06:40.000,"150至2,000,000。也就是应该是1000100,000,000，1.5亿到200,000,000之间吧，大概大概是这样的一个人口。"
31,00:06:40.000 --> 00:06:55.000,"等一下一百五一百五十万，1,500,000，1,500,000对应该就是1.5亿到200,000,000之间，的一个正交通，人数。"
32,00:06:55.000 --> 00:07:03.000,"那么其中有大概50，50,000,000，那就是50,000,000到80,000,000的。"
33,00:07:03.000 --> 00:07:09.000,"那是其中有5000到80,000,000，大概是一半，差不多一半以上吧。"
34,00:07:09.000 --> 00:07:31.000,一半多一点，不到一半啊，不到一半的时间是积极参与这个正教的信仰的，也就是说他可能每个主日去参加的你可见我们看看不到一半的人是真正的去实践这个政治教信仰这个是它的一个大体的考量，当然这个数
35,00:07:31.000 --> 00:07:40.000,据来源没有法确定，但是我们相信维吾尔主教的判断基本上不会太大，所以从人口和规模上我们也看到哈。
36,00:07:40.000 --> 00:07:44.000,Sarah.
37,00:07:44.000 --> 00:07:55.000,正教会的人数是比较少的，我们说可能全世界有大概二十二十多亿的这个基督基督徒的，人数那其中大部分的呢？
38,00:07:55.000 --> 00:08:08.000,"是天理教徒和新教徒的，那么正教徒可能占不到200,000,000的人口，大概就是这样子。"
39,00:08:08.000 --> 00:08:12.000,他们继续往下。
40,00:08:12.000 --> 00:08:31.000,好，我们在这里面，它会分成几个区域哈，就是因为它介绍的是希腊就是最古老的四大的这个宗主教区情况，所以本张将探讨五个团体当中前两种生活在穆斯林环境的希腊人和阿拉伯人还有仍然属于本质为
41,00:08:31.000 --> 00:08:52.000,国家教会的希腊人，这个这一点我不是很认同哈下张会介绍居住在通常所谓的第二世界，现在已经消失的这个就是正教徒接下来一张将研究这个散居在世界各地的政治教主。
42,00:08:52.000 --> 00:08:57.000,那么第一个我们看到的是中式坦丁堡的。宗主教区的情况，那么线区重视坦丁堡呢？
43,00:08:57.000 --> 00:09:10.000,大概有240个主教辖区那么相比以前来说，今天的规模算是比较小了。
44,00:09:10.000 --> 00:09:36.000,那么现在接受中石打金宝这种主叫辖区的有以下几个地方，一个是土耳其另外一个是克里特岛和这个就是多德卡尼斯重蹈，那还有所有流亡，的就是在在外的一些这个希腊人以及某些特定的俄
45,00:09:36.000 --> 00:09:47.000,罗斯，乌克兰波兰，阿尔巴尼亚的这些重提呢？也有可能受到这个中式坦丁堡跟主教的管辖。
46,00:09:47.000 --> 00:10:00.000,啊，那么阿索斯山肯定是属于这个中间环保的管辖范围，那么还有一个国家是芬兰地区的，教族，是属于正式谈兵保的网站范围。
