,Timestamps,Content
0,00:00:00.000 --> 00:00:08.540,"[zh] 天的观众朋友,这里是我们光从东方的平台,那么光从东方来呢,是以学术讲座来推广东方教会的传统。"
1,00:00:09.040 --> 00:00:16.480,"[zh] 那么我们在近两年主要推广的一个传统呢,是东方教会占了半壁江山的一个传统,是东正教。"
2,00:00:16.480 --> 00:00:24.100,"[zh] 那么今天有幸邀请到Dr. Pino Take Home,来到我们中间讲关于拜占庭的传统。"
3,00:00:24.100 --> 00:00:34.900,"[zh] Dr. Pino是研究圣帕达玛斯的博士,他现在是你们在海报上看到了教父学研究的指导员。"
4,00:00:35.400 --> 00:00:48.520,"[zh] 那么他是邀请一些研究教父的学者在他们平台去开讲座,当然也欢迎关注他们在,如果你们能上油管的话,他们在油管的公开的频道。"
5,00:00:48.520 --> 00:00:57.640,"[zh] 那么他现在是指导员。那么我们今天有幸邀请到他来讲关于一个主题,就是关于教父与圣经之间的关系。"
6,00:00:58.400 --> 00:01:08.600,"[zh] 那么希望大家在讲的时候,大家可以把关麦或者有什么问题,你们可以在聊天栏里面问。"
7,00:01:08.600 --> 00:01:20.260,"[zh] 然后呢,如果你们能用英文直接问也可以,但是我们由于会照顾到一些说中文的听众,所以我们会把英文都翻译成中文过去。"
8,00:01:20.500 --> 00:01:30.400,"[zh] 之后呢,我们会提供这个讲座的讲稿,主要是中英文的讲稿,因为我们可以用一些软件把它,把英文录制出来。"
9,00:01:30.400 --> 00:01:33.020,"[zh] 好,接下来我们交给 Dr. Pino。"
10,00:01:33.020 --> 00:01:39.020,"[zh] Okay, Dr. Pino,你可以开始现在。"
11,00:01:39.020 --> 00:01:43.640,"[zh] 然后,所以,你可以开始现在。"
12,00:01:43.640 --> 00:01:48.440,"[zh] 然后,它是我们的 honor来说,您来这里,为了中国观众。"
13,00:01:48.440 --> 00:01:56.860,"[zh] 然后,让您知道,您的计划会在 YouTube,尤其是中国观众。"
14,00:01:56.860 --> 00:02:05.860,"[zh] 然后,您的计划会在我们的网站上。"
15,00:02:05.860 --> 00:02:07.860,"[zh] 对,是可以吗?"
16,00:02:07.860 --> 00:02:15.860,"[zh] 好的,他说很高兴,我来这次讲座,这是我在这个平台第三次讲座。"
17,00:02:15.860 --> 00:02:22.860,"[zh] 他说很可惜,上次没有说他来到北京跟我一起见面面对面的开这样一个讲座。"
18,00:02:22.860 --> 00:02:25.860,"[zh] 那么,希望下次有这样的机会。"
19,00:02:25.860 --> 00:02:29.860,[zh] 今天我们的讲座是关于圣经与教父的。
20,00:02:29.860 --> 00:02:35.860,"[zh] 那么,还有一个可能更合适的说法是符合圣经的。"
21,00:02:35.860 --> 00:02:38.860,"[zh] 那么,这个词汇在《尼西亚信经》也出现过。"
22,00:02:38.860 --> 00:02:41.860,"[zh] 它说,根据圣经的教导。"
23,00:02:41.860 --> 00:02:48.860,"[zh] 怎么样,这是我们每周日,东众教会每周日和每次教导的时候都会阅读的《尼西亚信经》的内容。"
24,00:02:48.860 --> 00:02:56.860,"[zh] 那么,关于这个《信经》呢,它是特别强调,这是一个使徒的,使徒留下来的教导。"
25,00:02:56.860 --> 00:02:58.860,"[zh] 那么,在《尼西亚信经》当中得到流传。"
26,00:02:58.860 --> 00:03:06.860,"[zh] 并且,在这个《信经》当中,我们也可以看到在《圣经》中的一个非常重要的地位和教导。"
27,00:03:06.860 --> 00:03:10.860,"[zh] 就是说,它传递使徒教导的。"
28,00:03:10.860 --> 00:03:17.860,"[zh] 那么,在《尼西亚信经》当中,我们开始的是,我信这个圣父,"
29,00:03:17.860 --> 00:03:21.860,"[zh] 然后是谈到关于圣子的教导,然后是圣灵的教导。"
30,00:03:21.860 --> 00:03:25.860,"[zh] 那么,在这个《尼西亚信经》当中,有一段关于圣经的教导,"
