,Timestamps,Content
0,00:00:00.000 --> 00:00:05.940,那我分享的屏幕吗
1,00:00:05.940 --> 00:00:06.360,请问
2,00:00:06.360 --> 00:00:08.060,什么
3,00:00:08.060 --> 00:00:10.540,能看到我分享的屏幕吗
4,00:00:10.540 --> 00:00:11.980,可以可以
5,00:00:11.980 --> 00:00:12.460,没问题
6,00:00:12.460 --> 00:00:12.860,对
7,00:00:12.860 --> 00:00:14.760,你可以把它最大化
8,00:00:14.760 --> 00:00:16.000,能不能最大化一下
9,00:00:16.000 --> 00:00:17.480,最大化
10,00:00:17.480 --> 00:00:18.100,我看一下
11,00:00:18.100 --> 00:00:21.460,应该可以
12,00:00:21.460 --> 00:00:22.860,对
13,00:00:22.860 --> 00:00:26.000,最大化
14,00:00:26.000 --> 00:00:27.680,那就是幻灯片放音了
15,00:00:27.680 --> 00:00:29.640,对应该是
16,00:00:29.640 --> 00:00:32.640,你你你就把它直接放音看看
17,00:00:32.640 --> 00:00:35.040,看一下
18,00:00:35.040 --> 00:00:39.400,到处放音片
19,00:00:39.400 --> 00:00:41.240,我不是这个
20,00:00:41.240 --> 00:00:42.100,不好意思啊
21,00:00:42.100 --> 00:00:42.500,稍等
22,00:00:42.500 --> 00:00:43.040,稍等
23,00:00:43.040 --> 00:00:44.200,哦
24,00:00:44.200 --> 00:00:45.300,在这个右下角
25,00:00:45.300 --> 00:00:46.940,有一个那个
26,00:00:46.940 --> 00:00:49.500,右下角有个杯子形状的
27,00:00:49.500 --> 00:00:50.980,最右下角
28,00:00:50.980 --> 00:00:52.600,有一个杯子形状的东西
29,00:00:52.600 --> 00:00:53.100,你点一下
30,00:00:53.100 --> 00:00:53.960,应该就放音了
31,00:00:53.960 --> 00:00:59.220,对
32,00:00:59.220 --> 00:01:03.220,哦
33,00:01:03.220 --> 00:01:04.420,就是刚才这个
34,00:01:04.420 --> 00:01:07.480,嗯
35,00:01:07.480 --> 00:01:14.020,我可以告诉你
36,00:01:14.020 --> 00:01:14.860,大概在哪个位置
37,00:01:14.860 --> 00:01:16.340,你可以在在这个位置
38,00:01:16.340 --> 00:01:16.660,这里
39,00:01:16.660 --> 00:01:17.120,这里
40,00:01:17.120 --> 00:01:18.420,点一下这个就行了
41,00:01:18.420 --> 00:01:19.820,我给指出来
42,00:01:19.820 --> 00:01:21.020,这个这个这个东西
43,00:01:21.020 --> 00:01:21.860,看到了吗
44,00:01:21.860 --> 00:01:22.480,好的好的
45,00:01:22.480 --> 00:01:23.580,嗯
46,00:01:23.580 --> 00:01:26.540,你点一下看是不是屏幕传屏了
47,00:01:26.540 --> 00:01:27.580,对对对对对
48,00:01:27.580 --> 00:01:28.800,对就是这样子了
49,00:01:28.800 --> 00:01:29.080,好的
50,00:01:29.080 --> 00:01:29.480,嗯
51,00:01:29.480 --> 00:01:29.740,好
52,00:01:29.740 --> 00:01:31.560,对都能看到
53,00:01:31.560 --> 00:01:32.020,没问题
54,00:01:32.020 --> 00:01:32.360,好
55,00:01:32.360 --> 00:01:35.340,你声音也能听到哈
56,00:01:35.340 --> 00:01:37.480,好那我们就开始了
57,00:01:37.480 --> 00:01:39.780,现在观众朋友
58,00:01:39.780 --> 00:01:42.560,感谢大家关注我们光从东方来
59,00:01:42.560 --> 00:01:44.340,我们光从东方来的宗旨呢
60,00:01:44.340 --> 00:01:48.120,就是通过学术讲座来介绍东方教会的传统
61,00:01:48.120 --> 00:01:50.380,所谓东方教会的传统呢
62,00:01:50.380 --> 00:01:56.680,是指这个东罗马帝国以及东罗马帝国境外的一些教会传统
63,00:01:56.680 --> 00:02:01.560,就是除了天主教和基督新教以外的教会传统
64,00:02:01.560 --> 00:02:02.900,我们都介绍
65,00:02:02.900 --> 00:02:05.360,那么这些传统主要包括哪些呢
66,00:02:05.360 --> 00:02:09.220,主要包括拜扬廷和俄罗斯的这些东正教传统
67,00:02:09.220 --> 00:02:13.900,还包括这个说科普特语的这个埃及教会
68,00:02:13.900 --> 00:02:15.500,这科普特传统
69,00:02:15.500 --> 00:02:17.660,然后说叙利亚语的这个叙利亚教会
70,00:02:17.660 --> 00:02:20.300,这个叙利亚的传统
71,00:02:20.300 --> 00:02:21.620,那么叙利亚教会呢
72,00:02:21.620 --> 00:02:24.340,是最早传入中国的一个教派
73,00:02:24.340 --> 00:02:26.160,我们说唐朝的警教
74,00:02:26.160 --> 00:02:27.880,元朝的叙利可温教
75,00:02:27.880 --> 00:02:29.520,其实准确的说呢
76,00:02:29.520 --> 00:02:31.520,都是从这个叙利亚教会过来的
77,00:02:31.520 --> 00:02:34.000,那么还有像亚美尼亚传统
78,00:02:34.000 --> 00:02:35.800,他们说的是亚美尼亚语
79,00:02:35.800 --> 00:02:36.840,埃萨尔比亚传统
80,00:02:36.840 --> 00:02:38.760,他们说的是埃萨尔比亚语
81,00:02:38.760 --> 00:02:41.740,我们当然还有其他的一些小的传统呢
82,00:02:41.740 --> 00:02:43.360,会介绍
83,00:02:43.360 --> 00:02:46.780,但最主要的东方教会传统就是这些
84,00:02:46.780 --> 00:02:51.320,那么今天我们有幸邀请到这个郭子然博士
85,00:02:51.320 --> 00:02:54.820,给我们讲这个拜扬廷奥斯曼帝国时期的
86,00:02:54.820 --> 00:02:56.620,东正教的一个概况
