	text	id
0	Valmanifest 2022 Alla ska med när Sverige ställer om Vi är Miljöpartiet de gröna .	0
1	Vi strävar efter en värld där alla kan leva goda liv utan att försämra villkoren för kommande generationer .	1
2	Det är det vi menar med att vara gröna .	2
3	Vi är en röst för dem som inte kan göra sina röster hörda .	3
4	Allt vi gör bygger på solidaritet i ord och handling : • solidaritet med djur , natur och det ekologiska systemet • solidaritet med kommande generationer • solidaritet med världens alla människor Det är mycket i Sverige och världen som hotar vårt samhälle och vår framtid .	4
5	Klimatförändringarna påverkar redan människors liv i hela världen , med torka , skyfall och extrema väder .	5
6	Miljoner tvingas fly på grund av krig och konflikter i Europa och världen .	6
7	Högerextrema rörelser slår tillbaka mot allt vi uppnått i fråga om jämställdhet , demokrati , tolerans och lika rättigheter för alla .	7
8	I Sverige har orättvisorna och klyftorna mellan rik och fattig vuxit sig allt större .	8
9	Men vi är Miljöpartiet de gröna .	9
10	Vi ser sambanden och vårt arbete ger resultat .	10
11	Vi har beslutat om världens mest ambitiösa klimatmål , gjort utsläppen dyrare för industrin i hela Europa och fått fart på omställningen till sol och vindkraft .	11
12	Vi har förbättrat villkoren för dem som har det sämst ställt .	12
13	Vi ger plats åt dem som behöver skydd .	13
14	Vi värnar allas rätt att vara den man är och älska den man vill .	14
15	I det nya gröna folkhemmet sätter vi satsningar framför restriktioner , och ser möjligheter istället för hot .	15
16	Vi har kämpat i över 40 år .	16
17	Vi behöver dig i kampen .	17
18	Tillsammans ska vi klara klimatet , skydda naturen och stå upp för medmänsklighet , jämlikhet och demokrati .	18
19	Tillsammans ska vi bygga ett grönt , modernt Sverige för framtiden .	19
20	Det nya gröna folkhemmet .	20
21	Ett hållbart samhälle formar vi tillsammans .	21
22	Alla ska med när Sverige ställer om .	22
23	1 .	23
24	En snabb och rättvis klimatomställning Världen är i ett klimatnödläge och omställningen från fossila bränslen måste ske i rekordfart .	24
25	Vi har lösningarna för att skapa en framtid att längta till , för att bygga ett nytt grönt folkhem — tillsammans .	25
26	I vårt Sverige får vi vår energi från solen och vinden , tar hand om naturen och varandra .	26
27	Vi ger varje invånare frihet , möjligheter och en stark välfärd .	27
28	Den som har det gott ställt ska bidra mer än den som har små marginaler .	28
29	Vi vill : • investera minst 100 miljarder per år i att ställa om så att Sverige blir ett fossilfritt välfärdsland senast år 2030 .	29
